Year;Economic Activity;Type of Fixed Assets;Purchases in Thousands SR
2005;Exploration of oil and natural gas;Transportation Equipment;390662.0
2005;Activities for mining and quarrying;Other Equipment;904504.0
2005;Manufacture of food prod. and beverages;Furniture;271249.0
2005;Manufacture of textiles;Other assets;624.0
2005;Manufacturing of apparel, preparing & tanning fur;Land and Buildings;5719.0
2005;"Tanning and dressing of leather; manufacture of luggage and footwear";Other assets;26.0
2005;"Tanning and dressing of leather; manufacture of luggage and footwear";Land and Buildings;80.0
2005;"Tanning and dressing of leather; manufacture of luggage and footwear";Transportation Equipment;423.0
2005;Industry of paper and its products;Transportation Equipment;15411.0
2005;Industry of paper and its products;Other Equipment;201374.0
2005;Printing & Publishing;Other Equipment;73717.0
2005;Manufacture of chemicals , Articles and  products;Land and Buildings;488529.0
2005;Manufacture of other transport equipment;Other Equipment;1410.0
2005;"Manufacture of furniture; manufacturing";Other Equipment;48008.0
2005;"Manufacture of furniture; manufacturing";Furniture;23314.0
2005;Electricity, gas and steam;Other assets;1586937.0
2005;Collection, purification and distribution of water;Transportation Equipment;39185.0
2005;Construction;Total;5874762.0
2005;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Other Equipment;34650.0
2005;Wholesale trade and commission trade;Transportation Equipment;2375099.0
2009;"Manufacture of furniture; manufacturing";Total;370948.0
2009;Recycling;Transportation Equipment;0.0
2009;Recycling;Furniture;0.0
2009;Electricity, gas and steam;Transportation Equipment;49250.0
2009;"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale of automotive fuel";Total;690424.0
2009;Wholesale trade and commission trade;Land and Buildings;1528068.0
2009;Hotels and restaurants;Total;447980.0
2009;"Land transport; transport via pipelines";Other assets;334295.0
2009;Water transport;Other Equipment;0.0
2009;Post and telecommunications;Land and Buildings;196111.0
2009;Post and telecommunications;Total;3100433.0
2009;Post and telecommunications;Other Equipment;1070414.0
2009;Financial intermediation;Land and Buildings;1196406.0
2009;Insurance and pension funding, except compulsory social security;Total;302921.0
2009;Activities auxiliary to financial intermediation;Land and Buildings;0.0
2009;Real estate activities;Other assets;11805.0
2008;Agriculture and hunting and related service activities;Other Equipment;70148.0
2008;Manufacture of  non-metallic mineral products;Other assets;1037467.0
2008;Manufacture of  non-metallic mineral products;Land and Buildings;1888313.0
2008;Manufacture of  non-metallic mineral products;Other Equipment;2377093.0
2008;Manufacture of basic metals;Land and Buildings;19241.0
2008;Manufacture of fabricated metal products;Land and Buildings;116051.0
2008;Manufacture of machinery and equipment;Land and Buildings;33833.0
2008;Manufacture of machinery and equipment;Other Equipment;73405.0
